coco_id,filepath,caption,total_score,detection_score,edge_score,caption_score,num_objects,num_categories,spread_score,edge_density,dense_caption
2685,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000002685.jpg,A crowd of people stand near a man behind a bar with wine bottles on it.,0.9821,0.9602,1,1,19,5,0.9162,0.0967,"Several people are gathered around a wooden bar counter inside a restaurant, tasting room, or social event space. A man stands behind the counter near shelves filled with wine bottles while customers stand close together and talk in small groups. The room appears warmly lit and somewhat crowded, with people leaning toward the bar and interacting casually. The scene emphasizes a social indoor gathering centered around drinks, conversation, and shared attention at the counter."
6763,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000006763.jpg,A man and a women posing next to one another in front of a table.,0.9803,0.9562,1,1,7,5,1,0.0492,"A man and a woman sit close together at a table inside a dimly lit restaurant or bar. The man wears a dress shirt and tie and has his arm around the smiling woman beside him. Plates, utensils, and drinks are visible on the table in front of them, while warm lights and other patrons appear in the background. The scene has a relaxed, friendly atmosphere and looks like a casual dinner or social night out."
87144,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000087144.jpg,A baby sitting between a lady and a man on a bench under a tree.,0.9751,0.9448,1,1,10,4,1,0.1448,"A woman, a young child, and an elderly man sit on a park bench beneath the shade of a tree. The woman sits on the left wearing a patterned dress, the child sits near the center, and the older man sits on the right wearing light clothing and a cap. Grass, pavement, fences, and open outdoor space surround them. The bright daylight and quiet posture of the subjects suggest a calm family moment in a public park."
2157,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000002157.jpg,A table topped with a cake covered in berries next to a plate of sandwiches.,0.9733,1,1,0.8667,16,5,1,0.1016,"A table covered with a red tablecloth is arranged with desserts and party food in an outdoor or bright dining setting. A large cake topped with blueberries and raspberries sits near the front beside plates of sandwiches, bread, grapes, wine glasses, napkins, and stacked dishes. Serving utensils and tableware are distributed across the table, suggesting a celebration, picnic, or reception. The scene emphasizes abundance, colorful food, and a prepared setting for guests."
14226,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000014226.jpg,A person is sitting in a chair at a table with a laptop computer.,0.9653,1,1,0.8267,8,5,1,0.0828,"A man sits alone in a passenger train or railcar while using a laptop computer on a fold-out table in front of him. He wears a jacket and looks downward toward the screen with a focused expression. A large window beside him shows blurred scenery passing outside, making the train appear to be in motion. The seats, table, and narrow interior space create the feeling of travel, remote work, or commuting while using a computer."
35279,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000035279.jpg,"A man laying his head down next to electronics, a butterfly, and a book. ",0.9653,1,1,0.8267,9,7,1,0.0607,"A cluttered workspace or floor area contains several electronic devices and accessories arranged close together. A laptop displays a simple image on its screen, while a smartphone, cables, speakers, papers, a bottle, and other gadgets sit nearby. Part of a person’s face appears near the bottom edge of the image, suggesting they are lying or leaning near the electronics. The scene feels informal and messy, focused on personal devices, media, and experimentation."
31620,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000031620.jpg,A woman in a white dress and a man in gray stand near a cake on a white table under a white canopy.,0.9523,0.8941,1,1,10,6,1,0.0352,"Inside a large white event tent, a woman in a white dress and a man in a gray suit stand near a decorated table. The table is covered with a white cloth and appears to hold a cake or centerpiece. Soft light filters through the tent fabric, and other guests or staff can be seen in the background. The scene resembles a wedding reception or formal celebration, with elegant clothing, a spacious canopy, and a staged central table."
95707,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000095707.jpg,Several pastries sitting on aluminum foil next to a bowl with a knife and spatula in it. ,0.9508,0.95,1,0.8667,9,4,1,0.0719,"Several pastries and baked goods are arranged on aluminum foil on a table, with a bowl, knife, and spatula placed nearby for serving. The food includes rectangular pieces and a pale frosted or light-colored dessert item, suggesting a dessert spread or homemade baked selection. The close-up view emphasizes textures, foil reflections, and serving tools rather than the surrounding room. The scene appears to be an indoor food preparation or dessert-sharing moment."
54605,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000054605.jpg,Milkshake in tall glass and piece of cake on plate near forks.,0.9493,1,1,0.7467,15,6,1,0.0533,"A tall milkshake in a glass is topped with whipped cream and placed on a restaurant table beside a slice of layered cake on a white plate. A fork, napkins, and other table items sit nearby, while the background is dim and softly blurred. The milkshake and cake dominate the composition, making the image feel like a dessert order in a café or diner. The scene emphasizes sweet foods, creamy textures, and casual dining."
27620,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000027620.jpg,A laptop sitting on a desk next to a chair and another computer.,0.9487,0.9215,1,0.92,7,5,1,0.0731,"A small home office or study area contains a glass-top desk, a laptop computer, a chair, and additional electronic equipment. The desk is positioned near a wall with windows and blinds, and another chair sits in front of the workspace. Cables, accessories, and a cup or container are visible around the desk. The room appears functional and compact, set up for computer work, studying, or everyday home productivity."
66771,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000066771.jpg,Two people sitting at a table with beverages on it and the woman holding her phone.,0.9467,1,1,0.7333,11,7,1,0.0548,"Two people sit together at a restaurant table with beverages, cups, and small dishes in front of them. The man smiles while looking toward the woman, and the woman looks down at a smartphone in her hand. The table includes a drink with a straw, a cup of coffee or tea, and additional glassware. Warm indoor lighting and close seating create a casual social dining scene where conversation and phone use happen at the same time."
18575,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000018575.jpg,"Two plates, one with a sandwich and fries, the other with just a sandwich and a pickle.",0.9467,1,1,0.7333,8,6,1,0.0962,"Two plates of food are served on a restaurant table. One plate contains a sandwich with French fries, while the other plate includes a sandwich and a pickle with sliced vegetables and condiments nearby. Drinks, small containers, and utensils surround the plates, suggesting a casual lunch or diner-style meal. The overhead view emphasizes the arrangement of bread, fries, pickles, lettuce, tomato, and sauces on the white plates."
66817,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000066817.jpg,This plate consists of rice with sauce and peas and meat patties on the side.,0.9467,1,1,0.7333,11,5,1,0.0524,"A plate of food is photographed from above on a table, containing rice covered with sauce, peas, and several browned meat patties on the side. A cup of yogurt or creamy dessert and a small bowl of fruit sit near the plate, creating a complete meal setting. A spoon rests partly on the plate, ready for eating. The composition emphasizes the separated food groups, simple table surface, and cafeteria-like presentation."
84674,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000084674.jpg,a girl holds a baby eating a bagel with a boy standing next to them,0.9452,0.9967,1,0.7333,9,6,0.9868,0.0582,"A woman sits indoors holding a small child who is eating a bagel or bread roll, while a young boy stands next to them facing the camera. The group appears to be in a restaurant, event space, or public indoor setting, with people and warm lighting visible in the background. The child is seated on the woman’s lap, and the boy stands close by. The scene captures a family moment centered on children and food."
47112,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000047112.jpg,A pizza served on a white plate next to empty wine glass and beer.,0.9451,0.9551,1,0.8267,25,8,1,0.0863,"A freshly baked pizza sits on a white plate on a restaurant table, with a glass of beer and an empty wine glass positioned behind it. The pizza has visible cheese and toppings, and the background contains tables, chairs, and restaurant décor. The low angle focuses on the pizza in the foreground while keeping the drinks and dining environment visible. The scene suggests a casual meal in a bar, café, or pizzeria."
59598,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000059598.jpg,"A table with a laptop a plate with a muffin and a banana, a can and a cellphone.",0.942,0.9303,1,0.8667,10,8,1,0.0731,"An open laptop sits on a table in a classroom, meeting room, or conference setting. Nearby are a plate with a muffin and banana, a soda can, a mobile phone, and other small items. In the background, a presentation screen or projector area is visible, along with a person seated farther away. The scene combines work, technology, and snacks, suggesting someone attending a meeting, lecture, or workshop while using a computer."
91779,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000091779.jpg,Three hot dogs with different toppings lined up on a tabletop.,0.9413,1,1,0.7067,8,6,1,0.0878,"Three hot dogs with different toppings are arranged side by side on a tray or tabletop. One appears topped with sauce or chili, another with bright red peppers, and the surrounding area contains side dishes, cups, and food wrappers. The close-up composition highlights the variety of toppings and the casual food setting. The scene looks like a restaurant, food stand, or informal meal where multiple hot dogs are being served together."
22892,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000022892.jpg,"A cat sitting on a table next to plants and a dog outside of a sliding glass door, looking in.",0.9409,0.8688,1,1,5,5,1,0.0881,"A gray cat sits indoors on a table beside potted plants near a sliding glass door, while a dog stands outside looking in through the glass. The cat faces downward toward the plants, and the dog is visible beyond the door on a balcony or patio. The scene captures a humorous interaction between indoor and outdoor pets separated by the glass barrier. Natural light enters through the doorway, illuminating the plants and animals."
97337,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000097337.jpg,This is a nice living room set up with two couches and a television.,0.9387,1,1,0.6933,9,5,1,0.0721,"A cozy living room contains two couches arranged around a coffee table facing a television. The television displays a map or graphic image, while lamps, curtains, and decorative furniture create a warm indoor atmosphere. The room appears tidy and comfortable, with soft lighting and a central seating area designed for relaxation or entertainment. The scene emphasizes a typical home living space with a TV-focused layout and inviting furniture arrangement."
