coco_id,caption,dense_caption,prompt,target_path,generated_path,modality,experiment_id,guidance_scale,num_inference_steps,LPIPS_Distance,DreamSim_Distance,CLIP_Score
2685,A crowd of people stand near a man behind a bar with wine bottles on it.,"Several people are gathered around a wooden bar counter inside a restaurant, tasting room, or social event space. A man stands behind the counter near shelves filled with wine bottles while customers stand close together and talk in small groups. The room appears warmly lit.","Several people are gathered around a wooden bar counter inside a restaurant, tasting room, or social event space. A man stands behind the counter near shelves filled with wine bottles while customers stand close together and talk in small groups. The room appears warmly lit.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000002685/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000002685/generated.png,dense_text_only,2,3.0,20,0.7645,0.583,32.6075
6763,A man and a women posing next to one another in front of a table.,"A man and a woman sit close together at a table inside a dimly lit restaurant or bar. The man wears a dress shirt and tie and has his arm around the smiling woman beside him. Plates, utensils, and drinks are visible on the table.","A man and a woman sit close together at a table inside a dimly lit restaurant or bar. The man wears a dress shirt and tie and has his arm around the smiling woman beside him. Plates, utensils, and drinks are visible on the table.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000006763/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000006763/generated.png,dense_text_only,2,3.0,20,0.7366,0.6321,34.1353
87144,A baby sitting between a lady and a man on a bench under a tree.,"A woman, a young child, and an elderly man sit on a park bench beneath the shade of a tree. The woman sits on the left wearing a patterned dress, the child sits near the center, and the older man sits on the right wearing.","A woman, a young child, and an elderly man sit on a park bench beneath the shade of a tree. The woman sits on the left wearing a patterned dress, the child sits near the center, and the older man sits on the right wearing.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000087144/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000087144/generated.png,dense_text_only,2,3.0,20,0.7216,0.4826,28.6658
2157,A table topped with a cake covered in berries next to a plate of sandwiches.,"A table covered with a red tablecloth is arranged with desserts and party food in an outdoor or bright dining setting. A large cake topped with blueberries and raspberries sits near the front beside plates of sandwiches, bread, grapes, wine glasses, napkins, and stacked dishes.","A table covered with a red tablecloth is arranged with desserts and party food in an outdoor or bright dining setting. A large cake topped with blueberries and raspberries sits near the front beside plates of sandwiches, bread, grapes, wine glasses, napkins, and stacked dishes.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000002157/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000002157/generated.png,dense_text_only,2,3.0,20,0.7705,0.4825,36.6245
14226,A person is sitting in a chair at a table with a laptop computer.,A man sits alone in a passenger train or railcar while using a laptop computer on a fold-out table in front of him. He wears a jacket and looks downward toward the screen with a focused expression. A large window beside him shows blurred scenery.,A man sits alone in a passenger train or railcar while using a laptop computer on a fold-out table in front of him. He wears a jacket and looks downward toward the screen with a focused expression. A large window beside him shows blurred scenery.,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000014226/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000014226/generated.png,dense_text_only,2,3.0,20,0.7136,0.6259,28.25
35279,"A man laying his head down next to electronics, a butterfly, and a book.","A cluttered workspace or floor area contains several electronic devices and accessories arranged close together. A laptop displays a simple image on its screen, while a smartphone, cables, speakers, papers, a bottle, and other gadgets sit nearby. Part of a person’s face appears near the.","A cluttered workspace or floor area contains several electronic devices and accessories arranged close together. A laptop displays a simple image on its screen, while a smartphone, cables, speakers, papers, a bottle, and other gadgets sit nearby. Part of a person’s face appears near the.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000035279/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000035279/generated.png,dense_text_only,2,3.0,20,0.7372,0.4959,30.9901
31620,A woman in a white dress and a man in gray stand near a cake on a white table under a white canopy.,"Inside a large white event tent, a woman in a white dress and a man in a gray suit stand near a decorated table. The table is covered with a white cloth and appears to hold a cake or centerpiece. Soft light filters through the.","Inside a large white event tent, a woman in a white dress and a man in a gray suit stand near a decorated table. The table is covered with a white cloth and appears to hold a cake or centerpiece. Soft light filters through the.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000031620/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000031620/generated.png,dense_text_only,2,3.0,20,0.7107,0.6349,31.1574
95707,Several pastries sitting on aluminum foil next to a bowl with a knife and spatula in it.,"Several pastries and baked goods are arranged on aluminum foil on a table, with a bowl, knife, and spatula placed nearby for serving. The food includes rectangular pieces and a pale frosted or light-colored dessert item, suggesting a dessert spread or homemade baked selection. The.","Several pastries and baked goods are arranged on aluminum foil on a table, with a bowl, knife, and spatula placed nearby for serving. The food includes rectangular pieces and a pale frosted or light-colored dessert item, suggesting a dessert spread or homemade baked selection. The.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000095707/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000095707/generated.png,dense_text_only,2,3.0,20,0.7288,0.6719,31.6767
54605,Milkshake in tall glass and piece of cake on plate near forks.,"A tall milkshake in a glass is topped with whipped cream and placed on a restaurant table beside a slice of layered cake on a white plate. A fork, napkins, and other table items sit nearby, while the background is dim and softly blurred. The.","A tall milkshake in a glass is topped with whipped cream and placed on a restaurant table beside a slice of layered cake on a white plate. A fork, napkins, and other table items sit nearby, while the background is dim and softly blurred. The.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000054605/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000054605/generated.png,dense_text_only,2,3.0,20,0.7327,0.5892,29.5381
27620,A laptop sitting on a desk next to a chair and another computer.,"A small home office or study area contains a glass-top desk, a laptop computer, a chair, and additional electronic equipment. The desk is positioned near a wall with windows and blinds, and another chair sits in front of the workspace. Cables, accessories, and a cup.","A small home office or study area contains a glass-top desk, a laptop computer, a chair, and additional electronic equipment. The desk is positioned near a wall with windows and blinds, and another chair sits in front of the workspace. Cables, accessories, and a cup.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000027620/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000027620/generated.png,dense_text_only,2,3.0,20,0.6838,0.5346,33.1682
66771,Two people sitting at a table with beverages on it and the woman holding her phone.,"Two people sit together at a restaurant table with beverages, cups, and small dishes in front of them. The man smiles while looking toward the woman, and the woman looks down at a smartphone in her hand. The table includes a drink with a straw.","Two people sit together at a restaurant table with beverages, cups, and small dishes in front of them. The man smiles while looking toward the woman, and the woman looks down at a smartphone in her hand. The table includes a drink with a straw.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000066771/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000066771/generated.png,dense_text_only,2,3.0,20,0.6801,0.5008,31.1593
18575,"Two plates, one with a sandwich and fries, the other with just a sandwich and a pickle.","Two plates of food are served on a restaurant table. One plate contains a sandwich with French fries, while the other plate includes a sandwich and a pickle with sliced vegetables and condiments nearby. Drinks, small containers, and utensils surround the plates, suggesting a casual.","Two plates of food are served on a restaurant table. One plate contains a sandwich with French fries, while the other plate includes a sandwich and a pickle with sliced vegetables and condiments nearby. Drinks, small containers, and utensils surround the plates, suggesting a casual.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000018575/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000018575/generated.png,dense_text_only,2,3.0,20,0.7318,0.5553,32.6659
66817,This plate consists of rice with sauce and peas and meat patties on the side.,"A plate of food is photographed from above on a table, containing rice covered with sauce, peas, and several browned meat patties on the side. A cup of yogurt or creamy dessert and a small bowl of fruit sit near the plate, creating a complete.","A plate of food is photographed from above on a table, containing rice covered with sauce, peas, and several browned meat patties on the side. A cup of yogurt or creamy dessert and a small bowl of fruit sit near the plate, creating a complete.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000066817/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000066817/generated.png,dense_text_only,2,3.0,20,0.7691,0.3788,31.6138
84674,a girl holds a baby eating a bagel with a boy standing next to them,"A woman sits indoors holding a small child who is eating a bagel or bread roll, while a young boy stands next to them facing the camera. The group appears to be in a restaurant, event space, or public indoor setting, with people and warm.","A woman sits indoors holding a small child who is eating a bagel or bread roll, while a young boy stands next to them facing the camera. The group appears to be in a restaurant, event space, or public indoor setting, with people and warm.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000084674/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000084674/generated.png,dense_text_only,2,3.0,20,0.7653,0.444,34.8383
47112,A pizza served on a white plate next to empty wine glass and beer.,"A freshly baked pizza sits on a white plate on a restaurant table, with a glass of beer and an empty wine glass positioned behind it. The pizza has visible cheese and toppings, and the background contains tables, chairs, and restaurant décor. The low angle.","A freshly baked pizza sits on a white plate on a restaurant table, with a glass of beer and an empty wine glass positioned behind it. The pizza has visible cheese and toppings, and the background contains tables, chairs, and restaurant décor. The low angle.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000047112/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000047112/generated.png,dense_text_only,2,3.0,20,0.7209,0.742,26.8973
59598,"A table with a laptop a plate with a muffin and a banana, a can and a cellphone.","An open laptop sits on a table in a classroom, meeting room, or conference setting. Nearby are a plate with a muffin and banana, a soda can, a mobile phone, and other small items. In the background, a presentation screen or projector area is visible.","An open laptop sits on a table in a classroom, meeting room, or conference setting. Nearby are a plate with a muffin and banana, a soda can, a mobile phone, and other small items. In the background, a presentation screen or projector area is visible.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000059598/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000059598/generated.png,dense_text_only,2,3.0,20,0.6885,0.688,30.4544
91779,Three hot dogs with different toppings lined up on a tabletop.,"Three hot dogs with different toppings are arranged side by side on a tray or tabletop. One appears topped with sauce or chili, another with bright red peppers, and the surrounding area contains side dishes, cups, and food wrappers. The close-up composition highlights the variety.","Three hot dogs with different toppings are arranged side by side on a tray or tabletop. One appears topped with sauce or chili, another with bright red peppers, and the surrounding area contains side dishes, cups, and food wrappers. The close-up composition highlights the variety.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000091779/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000091779/generated.png,dense_text_only,2,3.0,20,0.7224,0.335,35.9208
22892,"A cat sitting on a table next to plants and a dog outside of a sliding glass door, looking in.","A gray cat sits indoors on a table beside potted plants near a sliding glass door, while a dog stands outside looking in through the glass. The cat faces downward toward the plants, and the dog is visible beyond the door on a balcony or.","A gray cat sits indoors on a table beside potted plants near a sliding glass door, while a dog stands outside looking in through the glass. The cat faces downward toward the plants, and the dog is visible beyond the door on a balcony or.",/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000022892/target.png,/Users/yixiaoz/Desktop/cs348k_proj/outputs/baseline_semantic_dense/cfg_3p0/000000022892/generated.png,dense_text_only,2,3.0,20,0.7279,0.5838,37.1297
