coco_id,filepath,caption,total_score,detection_score,edge_score,caption_score,num_objects,num_categories,spread_score,edge_density,Dense Caption
2685,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000002685.jpg,A crowd of people stand near a man behind a bar with wine bottles on it.,0.9821,0.9602,1,1,19,5,0.9162,0.0967,"A crowd of people stand near a man behind a bar with wine bottles on it, participating in a wine tasting event inside a shop. The patrons, including a man in a light blue shirt and plaid shorts, sample drinks and chat while observing the bottles lined up on the wooden counter."
6763,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000006763.jpg,A man and a women posing next to one another in front of a table.,0.9803,0.9562,1,1,7,5,1,0.0492,"A man and a woman posing next to one another in front of a table, smiling warmly for the camera inside a dimly lit bar or pub. The man wears a striped purple button-up shirt and a musical instrument-themed tie, while the woman wears a light-colored tank top."
2157,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000002157.jpg,A table topped with a cake covered in berries next to a plate of sandwiches.,0.9733,1,1,0.8667,16,5,1,0.1016,"A table topped with a cake covered in berries next to a plate of sandwiches, crackers, cheeses, and grapes. Set against a red tablecloth, this festive outdoor spread also features a stack of white plates, napkins, numerous wine glasses, and two decorative cake servers ready for a celebration."
2431,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000002431.jpg,"A table with a plate, wine-filled glass, and bread, among other items",0.9227,1,1,0.6133,9,6,1,0.0521,"A table with a plate, wine-filled glass, and bread, among other items, showcases an appetizing appetizer spread. The platter features several slices of charred, grilled baguette alongside small ramekins for spreads. In the foreground, a large piece of fresh white horseradish root stands wrapped in a cloth napkin, ready to be grated."
9400,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000009400.jpg,Sever people are sitting next to each other while using laptops.,0.9159,0.9434,1,0.7067,24,5,1,0.0429,"Several people are sitting next to each other while using laptops inside a dimly lit restaurant or cafe. Gathering around tables cluttered with drinks and condiments like Heinz ketchup, the group appears deeply focused on their screens, typing away and collaborating during what looks like a casual tech meetup or work session."
7818,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000007818.jpg,An illuminated floral display forms the centerpiece of the arrangement in this close up of a dining room table setting.,0.9145,0.9878,1,0.6,11,6,0.9513,0.0273,"An illuminated floral display forms the centerpiece of the arrangement in this close up of a dining room table setting. Surrounded by crisp white linens, folded napkins, and polished silverware, the table features upside-down wine glasses resting at each place setting, all beautifully captured through a window pane that reflects the warm, sophisticated ambiance of the restaurant."
1503,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000001503.jpg,A picture of an iMac desktop next to a Mac laptop on a desk. ,0.9104,0.8187,1,0.96,5,4,1,0.0369,"A picture of an iMac desktop next to a Mac laptop on a desk highlights a clean, retro Apple-centric workspace. The classic dome-shaped iMac G4 setup includes matching spherical Apple Pro speakers, a clear keyboard, and a mouse, while an external hard drive, printer, and window blinds frame the background."
6471,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000006471.jpg,A man at bat waiting for a pitch with a catcher and umpire behind him and players from the opposing team in the dugout.,0.9088,0.916,1,0.7333,16,5,1,0.0582,"A man at bat waiting for a pitch with a catcher and umpire behind him and players from the opposing team in the dugout. Wearing a white uniform with the number 10, the batter holds his bat high and focuses intently, while the catcher crouches in full protective gear and the umpire prepares to call the play."
3845,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000003845.jpg,A dinner plate that has white steamed rice with stir fry vegetables and chicken.,0.9071,0.9891,1,0.56,12,6,0.9563,0.0867,"A dinner plate that has white steamed rice with stir fry vegetables and chicken sits on a wooden table. The vibrant dish includes crinkle-cut carrots, broccoli florets, baby corn, and cauliflower tossed in a savory sauce. A fork and spoon rest at the top edge of the patterned, decorative plate near a glass of water."
1268,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000001268.jpg,A waterway under a bridge with people sitting down and a woman taking a photo.,0.9066,0.9109,1,0.7333,11,6,1,0.0827,"A waterway under a bridge with people sitting down and a woman taking a photo captures a scenic riverbank view. The woman stands in the foreground, using her smartphone to photograph a large white swan resting near the edge. In the background, sunlight glints off the water, revealing boats and cityscape buildings."
9891,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000009891.jpg,The man is loading luggage suitcases onto the cart in the parking lot. ,0.9015,0.9352,1,0.6533,13,5,0.9694,0.0958,"The man is loading luggage suitcases onto the cart in the parking lot or car rental return area. Surrounded by a white SUV and other parked vehicles, he lifts a large black bag next to several pieces of luggage on the ground, while another man in a jacket pushes a separate luggage trolley nearby."
5001,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000005001.jpg,A group of people holding a large pair of scissors to a ribbon.,0.8899,0.9094,1,0.6533,18,4,1,0.1178,"A group of people holding a large pair of scissors to a ribbon celebrate an official grand opening or event on a city street. Two young children wearing bicycle helmets stand at the front, helping adults guide the massive silver scissors and normal shears through a bright red ribbon while a blue balloon floats above."
