coco_id,caption,dense_caption,prompt,target_path,seg_path,generated_path,modality,experiment_id,guidance_scale,controlnet_conditioning_scale,num_inference_steps,LPIPS_Distance,DreamSim_Distance,CLIP_Score
2685,A crowd of people stand near a man behind a bar with wine bottles on it.,"Several people are gathered around a wooden bar counter inside a restaurant, tasting room, or social event space. A man stands behind the counter near shelves filled with wine bottles while customers stand close together and talk in small groups. The room appears warmly lit.",,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000002685/target.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000002685/seg.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000002685/generated.png,empty_text_plus_seg,4,3.0,1.0,20,0.74,0.589,18.8093
6763,A man and a women posing next to one another in front of a table.,"A man and a woman sit close together at a table inside a dimly lit restaurant or bar. The man wears a dress shirt and tie and has his arm around the smiling woman beside him. Plates, utensils, and drinks are visible on the table.",,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000006763/target.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000006763/seg.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000006763/generated.png,empty_text_plus_seg,4,3.0,1.0,20,0.7149,0.7052,16.4316
87144,A baby sitting between a lady and a man on a bench under a tree.,"A woman, a young child, and an elderly man sit on a park bench beneath the shade of a tree. The woman sits on the left wearing a patterned dress, the child sits near the center, and the older man sits on the right wearing.",,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000087144/target.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000087144/seg.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000087144/generated.png,empty_text_plus_seg,4,3.0,1.0,20,0.5673,0.4274,36.0441
2157,A table topped with a cake covered in berries next to a plate of sandwiches.,"A table covered with a red tablecloth is arranged with desserts and party food in an outdoor or bright dining setting. A large cake topped with blueberries and raspberries sits near the front beside plates of sandwiches, bread, grapes, wine glasses, napkins, and stacked dishes.",,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000002157/target.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000002157/seg.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000002157/generated.png,empty_text_plus_seg,4,3.0,1.0,20,0.6754,0.3816,30.0932
14226,A person is sitting in a chair at a table with a laptop computer.,A man sits alone in a passenger train or railcar while using a laptop computer on a fold-out table in front of him. He wears a jacket and looks downward toward the screen with a focused expression. A large window beside him shows blurred scenery.,,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000014226/target.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000014226/seg.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000014226/generated.png,empty_text_plus_seg,4,3.0,1.0,20,0.6479,0.5207,28.8268
35279,"A man laying his head down next to electronics, a butterfly, and a book.","A cluttered workspace or floor area contains several electronic devices and accessories arranged close together. A laptop displays a simple image on its screen, while a smartphone, cables, speakers, papers, a bottle, and other gadgets sit nearby. Part of a person’s face appears near the.",,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000035279/target.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000035279/seg.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000035279/generated.png,empty_text_plus_seg,4,3.0,1.0,20,0.6504,0.6023,25.9202
31620,A woman in a white dress and a man in gray stand near a cake on a white table under a white canopy.,"Inside a large white event tent, a woman in a white dress and a man in a gray suit stand near a decorated table. The table is covered with a white cloth and appears to hold a cake or centerpiece. Soft light filters through the.",,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000031620/target.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000031620/seg.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000031620/generated.png,empty_text_plus_seg,4,3.0,1.0,20,0.7637,0.8198,18.2477
95707,Several pastries sitting on aluminum foil next to a bowl with a knife and spatula in it.,"Several pastries and baked goods are arranged on aluminum foil on a table, with a bowl, knife, and spatula placed nearby for serving. The food includes rectangular pieces and a pale frosted or light-colored dessert item, suggesting a dessert spread or homemade baked selection. The.",,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000095707/target.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000095707/seg.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000095707/generated.png,empty_text_plus_seg,4,3.0,1.0,20,0.7153,0.6583,21.7283
54605,Milkshake in tall glass and piece of cake on plate near forks.,"A tall milkshake in a glass is topped with whipped cream and placed on a restaurant table beside a slice of layered cake on a white plate. A fork, napkins, and other table items sit nearby, while the background is dim and softly blurred. The.",,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000054605/target.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000054605/seg.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000054605/generated.png,empty_text_plus_seg,4,3.0,1.0,20,0.6145,0.5239,28.654
27620,A laptop sitting on a desk next to a chair and another computer.,"A small home office or study area contains a glass-top desk, a laptop computer, a chair, and additional electronic equipment. The desk is positioned near a wall with windows and blinds, and another chair sits in front of the workspace. Cables, accessories, and a cup.",,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000027620/target.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000027620/seg.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000027620/generated.png,empty_text_plus_seg,4,3.0,1.0,20,0.6839,0.6485,27.4968
66771,Two people sitting at a table with beverages on it and the woman holding her phone.,"Two people sit together at a restaurant table with beverages, cups, and small dishes in front of them. The man smiles while looking toward the woman, and the woman looks down at a smartphone in her hand. The table includes a drink with a straw.",,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000066771/target.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000066771/seg.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000066771/generated.png,empty_text_plus_seg,4,3.0,1.0,20,0.7099,0.6076,24.6765
18575,"Two plates, one with a sandwich and fries, the other with just a sandwich and a pickle.","Two plates of food are served on a restaurant table. One plate contains a sandwich with French fries, while the other plate includes a sandwich and a pickle with sliced vegetables and condiments nearby. Drinks, small containers, and utensils surround the plates, suggesting a casual.",,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000018575/target.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000018575/seg.png,/Users/sophiahuang/Desktop/CS348K/cs348k_proj/outputs/baseline_structural_seg/cfg_3p0_control_1p0/000000018575/generated.png,empty_text_plus_seg,4,3.0,1.0,20,0.6376,0.5419,26.2807
